INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,LOAD_TYPE,OPR_DT,OPR_HR,OPR_INTERVAL,MARKET_RUN_ID,TAC_AREA_NAME,LABEL,XML_DATA_ITEM,POS,MW,EXECUTION_TYPE,GROUP
2022-04-01T19:00:00-00:00,2022-04-01T20:00:00-00:00,2,2022-04-01,13,0,2DA,BANCRDNG,Demand Forecast 2-Day Ahead,SYS_FCST_2DA_MW,1.8,96.07,2DA,5
2022-04-01T16:00:00-00:00,2022-04-01T17:00:00-00:00,2,2022-04-01,10,0,2DA,BANCRDNG,Demand Forecast 2-Day Ahead,SYS_FCST_2DA_MW,1.8,98.16,2DA,5
2022-04-01T23:00:00-00:00,2022-04-02T00:00:00-00:00,2,2022-04-01,17,0,2DA,BANCRDNG,Demand Forecast 2-Day Ahead,SYS_FCST_2DA_MW,1.8,104.4,2DA,5
2022-04-02T00:00:00-00:00,2022-04-02T01:00:00-00:00,2,2022-04-01,18,0,2DA,BANCRDNG,Demand Forecast 2-Day Ahead,SYS_FCST_2DA_MW,1.8,106.59,2DA,5
2022-04-02T03:00:00-00:00,2022-04-02T04:00:00-00:00,2,2022-04-01,21,0,2DA,BANCRDNG,Demand Forecast 2-Day Ahead,SYS_FCST_2DA_MW,1.8,103.57,2DA,5
2022-04-01T07:00:00-00:00,2022-04-01T08:00:00-00:00,2,2022-04-01,1,0,2DA,BANCRDNG,Demand Forecast 2-Day Ahead,SYS_FCST_2DA_MW,1.8,77.9,2DA,5
2022-04-02T04:00:00-00:00,2022-04-02T05:00:00-00:00,2,2022-04-01,22,0,2DA,BANCRDNG,Demand Forecast 2-Day Ahead,SYS_FCST_2DA_MW,1.8,96.44,2DA,5
2022-04-01T12:00:00-00:00,2022-04-01T13:00:00-00:00,2,2022-04-01,6,0,2DA,BANCRDNG,Demand Forecast 2-Day Ahead,SYS_FCST_2DA_MW,1.8,81.14,2DA,5
2022-04-01T13:00:00-00:00,2022-04-01T14:00:00-00:00,2,2022-04-01,7,0,2DA,BANCRDNG,Demand Forecast 2-Day Ahead,SYS_FCST_2DA_MW,1.8,91.59,2DA,5
2022-04-01T10:00:00-00:00,2022-04-01T11:00:00-00:00,2,2022-04-01,4,0,2DA,BANCRDNG,Demand Forecast 2-Day Ahead,SYS_FCST_2DA_MW,1.8,73.86,2DA,5
2022-04-01T11:00:00-00:00,2022-04-01T12:00:00-00:00,2,2022-04-01,5,0,2DA,BANCRDNG,Demand Forecast 2-Day Ahead,SYS_FCST_2DA_MW,1.8,75.78,2DA,5
2022-04-01T18:00:00-00:00,2022-04-01T19:00:00-00:00,2,2022-04-01,12,0,2DA,BANCRDNG,Demand Forecast 2-Day Ahead,SYS_FCST_2DA_MW,1.8,95.44,2DA,5
2022-04-01T21:00:00-00:00,2022-04-01T22:00:00-00:00,2,2022-04-01,15,0,2DA,BANCRDNG,Demand Forecast 2-Day Ahead,SYS_FCST_2DA_MW,1.8,99,2DA,5
